Organisation Name,Section,Costs (Higher),Financial year: End Date
European Interreligious Forum for Religious Freedom (EIFRF),III - Non-governmental organisations,9999,01/12/2015
Ohaha Family Foundation (OFF),III - Non-governmental organisations,9999,01/12/2015
bvse-Bundesverband Sekund_rrohstoffe und Entsorgung e.V. (bvse),II - In-house lobbyists and trade/business/professional associations,40000,01/12/2015
EUROSENIOR,III - Non-governmental organisations,9999,01/12/2015
Bundesverband der Deutschen Sportartikel-Industrie e.V. (BSI),II - In-house lobbyists and trade/business/professional associations,15000,01/12/2015
Bundesverband Holz und Kunststoff,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Association Française de la Gestion financière (AFG),III - Non-governmental organisations,799999,01/12/2015
Association of British Insurers (ABI),II - In-house lobbyists and trade/business/professional associations,1749000,01/12/2015
VOTUM Verband Unabh_ngiger Finanzdienstleistungs-Unternehmen in Europa e. V.,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
F_d_ration belge des industries chimiques et des sciences de la vie (essenscia),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
EU Ukraine Business Council aisbl (EUUBC),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2015
"CLECAT - European association for forwarding, transport, logistic and Customs services (CLECAT)",II - In-house lobbyists and trade/business/professional associations,599999,01/12/2015
Scottish Fishermen's Federation (SFF),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2015
Verband der Internationalen Kraftfahrzeughersteller e.V. (VDIK),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Volontari d'Europa - Onlus (V.d.E.),III - Non-governmental organisations,9999,01/12/2015
Taxpayers Association of Europe (TAE),III - Non-governmental organisations,9999,01/12/2015
MERCADONA SA,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
MISSAGLIAEASSOCIATI (MEA),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2015
Groupe GTI,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
"Assuralia, beroepsvereniging van verzekeringsondernemingen (Assuralia)",II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
European Container Glass Federation (FEVE),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
NGVA Europe (NGVA Europe),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
European Association of Environmental and Resource Economists (EAERE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
Association of European Border Regions (AEBR-AGEG-ARFE),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",399999,01/12/2015
ƒsterreichische Notariatskammer (ƒNK),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Unie van Erkende Sociale Secretariaten (USS),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Council of European Dentists (CED),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
International Emissions Trading Association (IETA),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
LOGOS Public Affairs,I - Professional consultancies/law firms/self-employed consultants,499999,01/12/2015
Nets A/S (Nets),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
Global Wind Energy Council (GWEC),III - Non-governmental organisations,9999,01/12/2015
WirtschaftsVereinigung Metalle (WVMetalle),II - In-house lobbyists and trade/business/professional associations,500000,01/12/2015
Eurogroup for Wildlife and Laboratory Animals (EWLA),III - Non-governmental organisations,24999,01/12/2015
Altroconsumo (AC),III - Non-governmental organisations,9999,01/12/2015
ASOCIACIÓN EMPRESARIAL EÓLICA (AEE),II - In-house lobbyists and trade/business/professional associations,10500,01/12/2015
Universit_ Popolare LUniASM - Libera Universit_ Telematica Arti e Scienze Moderne (UP - LUNiASM),"IV - Think tanks, research and academic institutions",9999,01/12/2015
International Risk Governance Council (IRGC),III - Non-governmental organisations,9999,01/12/2015
Shifting Values e.U. (SV),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
DuPont de Nemours International SARL,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
"Faculty of Technical Sciences, University of Novi Sad (FTS)","IV - Think tanks, research and academic institutions",399999,01/12/2015
Euromontana (Euromontana),III - Non-governmental organisations,199999,01/12/2015
University of Pretoria (UP),"IV - Think tanks, research and academic institutions",352,01/12/2015
European Anti Poverty Network (EAPN),III - Non-governmental organisations,199999,01/12/2015
