Organisation Name,Section,Costs (Higher),Financial year: End Date
Research Institute of Organic Agriculture (FiBL) (FiBL),"IV - Think tanks, research and academic institutions",199999,01/12/2016
Agrupacãn Empresarial Innovadora de Fabricantes de Muebles y Afines de la Regiãn de Murcia (AMUEBLA),II - In-house lobbyists and trade/business/professional associations,50114,01/12/2016
Federazione Italiana Giuoco Calcio (F.I.G.C.),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
European Travel Retail Confederation (ETRC),II - In-house lobbyists and trade/business/professional associations,350000,01/12/2016
Nutreco,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Cruelty Free International,III - Non-governmental organisations,24999,01/03/2016
ASOCIACIîN DE LA INDUSTRIA ALIMENTARIA DE CASTILLA Y LEîN (VITARTIS),II - In-house lobbyists and trade/business/professional associations,100000,01/12/2016
Energie Steiermark Business GmbH,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Liberty Mutual Group (n/a),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Asociacion Empresarios Textiles de la Comunidad Valenciana (ATEVAL),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
SPISE Working Group (SPISE WG),"IV - Think tanks, research and academic institutions",9999,01/12/2016
BENELUXVERENIGING VOOR MERKEN- EN MODELLENRECHT/ASSOCIATION BENELUX POUR LE DROIT DES MARQUES ET MODELES. (BMM),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Mehr Demokratie e.V.,III - Non-governmental organisations,9999,01/12/2016
GeoUnion Alfred-Wegener-Stiftung (GeoUnion),III - Non-governmental organisations,24999,01/12/2016
GCE Subsea,III - Non-governmental organisations,24999,01/12/2016
Sustainability Consulting (SUST4IN),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Europe External Programme with Africa (EEPA),III - Non-governmental organisations,49999,01/12/2016
International Association of Art (IAA) Europe (IAA Europe),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
ATLANTE SRL (ATLANTE),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
FAIR and GREEN e.V. (FNG),III - Non-governmental organisations,24999,01/12/2016
Asociaciãn de Ingenieros Navales y Oceönicos de Espa_a (AINE),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Biobased Industries Organisation (BIC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Eindhoven University of Technology (TU/e),"IV - Think tanks, research and academic institutions",200000,01/12/2016
Associaç o das Empresas Familiares - The Portuguese Family Business Association (EFs),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Federation of Irish Beekeepers Associations (FIBKA),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",281938,01/12/2016
OXON Italia SpA (OXON),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
PANCYPRIAN FEDERATION OF LABOUR (PEO),II - In-house lobbyists and trade/business/professional associations,40000,01/12/2016
Environmental Justice Foundation (EJF),III - Non-governmental organisations,99999,01/12/2016
euRobotics aisbl (euRobotics),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Link_pings universitet (LiU),"IV - Think tanks, research and academic institutions",299999,01/12/2016
Bayerische B_rse AG (Bayerische B_rse),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Verein Reffnet.ch - Netzwerk Ressourceneffizienz Schweiz (Reffnet.ch),III - Non-governmental organisations,9999,01/12/2016
Planet Without Frontierså Institution (PWFI),"IV - Think tanks, research and academic institutions",499999,01/12/2016
Deutsche Gesellschaft f™r Abfallwirtschaft e. V. (DGAW),III - Non-governmental organisations,9999,01/12/2016
PJSC PhosAgro (PHOSAGRO),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Marx Franz Peter (FPM),I - Professional consultancies/law firms/self-employed consultants,50000,01/07/2016
Universitat Aut…noma de Barcelona (UAB),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Institute for Ethics,III - Non-governmental organisations,30000,01/12/2016
Think Beyond Plastic (TBP),III - Non-governmental organisations,299999,01/12/2016
Coompanion Sverige ekonomisk f_rening (Coompanion),III - Non-governmental organisations,10000,01/12/2016
Movimento difesa del cittadino (MDC),III - Non-governmental organisations,199999,01/12/2016
World Marrow Donor Association (WMDA),III - Non-governmental organisations,9999,01/12/2016
Association Luxembourgeoise des Fonds d'Investissement (ALFI),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
Verband der Auslandsbanken in Deutschland e.V. / Association of Foreign Banks in Germany (VAB),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
N-square Consulting (N-square),I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2016
European Logistics Association (ELA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Deutscher Verband der Riechstoff-Hersteller e. V. (DVRH),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Vlaamse Radio- en Televisieomroeporganisatie (VRT),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",49999,01/12/2016
Nederlandse Publieke Omroep (NPO),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
EUROPEAN COIL COATING ASSOCIATION (ECCA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Verband Beratender Ingenieure (VBI),II - In-house lobbyists and trade/business/professional associations,70000,01/07/2016
1955 (SYNAPSES),II - In-house lobbyists and trade/business/professional associations,3000,01/12/2016
CIMPOR - Ind“stria de Cimentos (CIMPOR),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Publishers Council (EPC),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
F_d_ration de la Plasturgie et des Composites (FPC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Newspaper Publishers' Association (ENPA),II - In-house lobbyists and trade/business/professional associations,340000,01/12/2016
The Association of Real Estate Funds (AREF),II - In-house lobbyists and trade/business/professional associations,24999,01/09/2016
Brown-Forman Netherlands BV,II - In-house lobbyists and trade/business/professional associations,199999,01/04/2016
Danish Energy / Dansk Energi (DE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
TOPTICA Photonics AG (TOPTICA),II - In-house lobbyists and trade/business/professional associations,9999,01/09/2016
KEA European Affairs (KEA),I - Professional consultancies/law firms/self-employed consultants,299999,01/12/2016
Gestamp Automociãn,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Investment & Life Assurance Group Limited (ILAG),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
International Association of Legal Protection Insurance - RIAD (RIAD),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Edison Spa (EDS),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Belarus EU Business Council (BEUBC),III - Non-governmental organisations,9999,01/12/2016
CEBRE - Czech Business Representation to the EU in Brussels (CEBRE),II - In-house lobbyists and trade/business/professional associations,110000,01/12/2016
"Bundesverband Wirtschaft, Verkehr und Logistik e.V. (BWVL)",II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Association Française des Tr_soriers d'Entreprise (AFTE),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Morgan Stanley (MS),II - In-house lobbyists and trade/business/professional associations,899999,01/12/2016
Deutscher Notarverein (DNotV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Baillie Gifford & Co (BG),II - In-house lobbyists and trade/business/professional associations,9999,01/04/2016
International Securities Lending Association (ISLA),II - In-house lobbyists and trade/business/professional associations,899999,01/12/2016
European Association of Electrical Contractors (AIE),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Deutsche Sozialversicherung Arbeitsgemeinschaft Europa (DSVAE),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",699999,01/12/2016
Federazione Nazionale Commercio Macchine (ASCOMAC),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
Lietuvos moksl_ akademija (LMA),"IV - Think tanks, research and academic institutions",899999,01/12/2016
Gesamtverband der Deutschen Versicherungswirtschaft e.V. (GDV),II - In-house lobbyists and trade/business/professional associations,2749000,01/12/2016
Baloch Voice Association (BVA),III - Non-governmental organisations,56800,01/12/2016
Federation of European Publishers (FEP-FEE),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
"Bundesverband Informationswirtschaft, Telekommunikation und neue Medien e. V. (Bitkom)",II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Chartered Institution of Water and Environmental Management (CIWEM),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
E-Energy Market BV (E-EM),I - Professional consultancies/law firms/self-employed consultants,6000,01/12/2016
Deutscher Feuerwehrverband (DFV),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
North Western Waters Advisory Council (NWWAC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",399999,01/09/2016
Nordic Financial Unions (NFU),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
European & International Booksellers Federation (EIBF),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Landscape Contractors Association (ELCA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Inland Navigation Europe (INE),III - Non-governmental organisations,99999,01/12/2016
Hospodö_skö komora _esk_ republiky (HK _R),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Bundesverband deutscher Banken e.V. (Bankenverband),II - In-house lobbyists and trade/business/professional associations,2749000,01/12/2016
association of television and radio sales houses (egta),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
